Date,Time,Left,Right
02/11/2013,20:45:00,0.404189771,0.359080035
02/11/2013,20:50:00,0.383953535,0.371512617
02/11/2013,20:55:00,0.389829889,0.385112597
02/11/2013,21:00:00,0.394749026,0.382608416
02/11/2013,21:05:00,0.434920168,0.354005179
02/11/2013,21:10:00,0.423376553,0.34355271
02/11/2013,21:15:00,0.437970676,0.31859155
02/11/2013,21:20:00,0.397192856,0.309850902
02/11/2013,21:25:00,0.363260217,0.321263363
02/11/2013,21:30:00,0.398765446,0.329679825
02/11/2013,21:35:00,0.42833238,0.313445283
02/11/2013,21:40:00,0.436954186,0.327056951
02/11/2013,21:45:00,0.480156506,0.341769264
02/11/2013,21:50:00,0.496663389,0.365181722
02/11/2013,21:55:00,0.46667641,0.323176038
02/11/2013,22:00:00,0.44892969,0.324562673
02/11/2013,22:05:00,0.453177703,0.31544077
02/11/2013,22:10:00,0.416114469,0.336937236
02/11/2013,22:15:00,0.414581419,0.342376308
02/11/2013,22:20:00,0.483633842,0.352316361
